location_id,avg_vehicle_speed,temperature,humidity,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,accident_reported,cong_lag_1,cong_lag_3,cong_lag_6,cong_lag_12,cong_lag_24,cong_roll_mean_3,cong_roll_std_3,cong_roll_mean_6,cong_roll_std_6,cong_roll_mean_24,cong_roll_std_24,weather_condition_Foggy,weather_condition_Rainy,weather_condition_Sunny,weather_condition_Windy,signal_status_Red,signal_status_Yellow,hour_sin,hour_cos,traffic_congestion
3,25.99200926817069,16.756221876542853,45.155705587148006,336,88,13,0,26.046939672764022,22.630555555555556,46.11176555376742,44.81815962906114,38.09622733139027,21.1269428538843,5.819363329734884,28.283373229729783,10.494970765674587,39.25051965059316,13.388778251740678,False,False,False,False,False,False,0.0,1.0,32.42285469674173
3,61.28266663016083,22.616026398701884,87.46224642038923,434,33,43,0,37.42285469674173,14.703333333333331,31.664102358556544,29.61583333333333,61.16813362548616,26.05770923427969,11.359764510463402,26.835221420225505,7.795097735213446,39.222462457482806,13.392007490173508,False,False,False,True,True,False,0.0,1.0,41.88347010231894
3,62.56297802524345,33.984496359673685,32.9293225155222,647,54,30,0,24.60472222222222,38.965769378500575,26.046939672764022,42.84386472295642,37.76311389535158,37.17321942246316,11.775003104611278,34.47882045653569,8.781577856061647,36.08134377033405,9.80190772312511,False,False,False,True,True,False,0.0,1.0,48.644223817409014
3,39.81456676018432,31.6691000572836,42.53042498536752,521,25,9,0,17.664642075240433,43.91888888888889,47.94916666666666,22.630555555555556,49.832570030279975,37.98402114275387,18.097154290223088,35.85836268909325,14.09570872737363,35.87920259823047,11.170718444641352,True,False,False,False,False,False,0.0,1.0,43.77182388846194
3,36.00051179971865,34.83065168201373,68.55479494827244,517,23,38,0,30.516944444444444,17.664642075240433,28.64422381740901,26.046939672764022,52.91680229457425,37.31780346938228,23.794050018800384,39.480842596429504,17.026866763862827,36.23579187935842,12.29891730467738,True,False,False,False,False,True,0.0,1.0,50.584101391582834
3,40.50822232953095,32.86884753344899,31.039558305341824,720,45,44,0,45.44791073612169,57.00395318035334,50.55201092502293,33.50925468372152,28.64422381740901,47.14585006181675,9.128347829028094,50.38371990448426,10.234050161698326,44.06571249543121,15.651372056351732,False,False,False,False,False,True,0.0,1.0,40.76973071970367
3,70.8316663420149,34.46445987148435,74.43113637707205,310,82,20,0,15.304444444444446,16.704383513768313,14.986272827753632,33.359859985905395,37.56444444444445,27.035207577400808,19.118712811640187,26.76759282286036,14.898190359611148,33.44951418133876,13.004948176126623,False,False,False,True,True,False,0.2588190451025207,0.9659258262890684,38.413888888888884
3,38.9088223479532,34.13605551846776,81.73819416158393,504,96,30,0,23.41388888888889,49.09679477398967,22.784444444444446,58.53416666666666,34.04363358645748,29.271709369107665,17.64132310181216,28.17219549971624,13.93119346737172,32.859907699857274,13.13044493622446,False,False,False,True,True,False,0.2588190451025207,0.9659258262890684,57.117081993252384
3,78.89919943114687,16.637480430457053,50.39374926971,325,22,31,0,53.64569288102995,23.41388888888889,16.704383513768313,29.17799973393721,51.19207235134965,43.05888792105707,17.0302276274269,35.04704774922894,18.41871419434817,34.31596695680154,14.29606715795342,False,False,False,False,True,False,0.2588190451025207,0.9659258262890684,31.223055555555558
3,51.635910854915394,17.564803816602893,83.99708423438557,653,6,34,1,11.223055555555558,52.11708199325237,49.09679477398967,37.99799772835423,40.54731174746086,38.99527680994596,24.063590086761128,34.133493089526816,19.60799297713663,32.65059125697679,14.57006986738154,False,False,True,False,False,True,0.2588190451025207,0.9659258262890684,56.707485588329654
3,29.83286142682893,23.30614517854452,51.01136434385066,644,95,31,0,25.765833333333333,11.223055555555558,23.41388888888889,14.986272827753632,38.37783077755784,29.56545815907284,20.507928476126654,36.31217304006496,18.40824020356213,32.27684850034632,14.82069293711084,False,False,False,True,False,True,0.2588190451025207,0.9659258262890684,50.547098144882376
3,49.83874677013834,23.901310606999026,76.3965733600089,612,12,33,0,26.255555555555556,42.4007124027267,28.64644025167581,25.765833333333333,43.525958066964165,36.15735898127752,8.672065194073554,40.71622100018627,17.618282092632313,37.113871087550805,16.95009875423834,True,False,False,False,True,False,0.2588190451025207,0.9659258262890684,61.550001490705384
3,22.67382940692075,10.606006475559742,72.4257645696667,88,32,13,0,26.269995870922497,26.255555555555556,74.35166478243286,17.44031381237124,22.784444444444446,34.69185097239448,14.599588395026643,43.44062318131555,18.031262814048347,37.91836135700539,16.665177982337323,False,False,False,True,False,True,0.2588190451025207,0.9659258262890684,33.80987788056649
3,44.93853120115434,25.625486354202604,83.73499139947089,679,22,18,0,43.80987788056649,51.55000149070539,42.4007124027267,40.149166666666666,41.72921693276167,40.54329174739812,12.952706657610978,38.35032536433783,10.147011957420364,38.79442108351048,16.38530970581237,False,False,False,True,False,False,0.2588190451025207,0.9659258262890684,36.17969500117663
3,65.66529836143253,26.72384275170686,50.72521201060792,547,17,14,0,41.46290505768285,43.80987788056649,26.255555555555556,56.84167045388756,49.09679477398967,45.48415931314199,5.070149449286097,40.08800514276823,11.42295646903408,40.21979606735754,15.866528871003252,True,False,False,False,False,True,0.2588190451025207,0.9659258262890684,37.62138888888889
3,76.94427177889064,32.89819365259453,55.47367429239343,636,25,8,0,57.93929437534195,41.46290505768285,26.269995870922497,32.827144023176366,23.41388888888889,44.007862773971226,12.849384883663287,42.213859512429885,11.63622787114426,41.30977290259907,15.370500196810571,False,False,False,True,False,True,0.2588190451025207,0.9659258262890684,30.6525
