timestamp,location_id,traffic_volume,avg_vehicle_speed,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,weather_condition,temperature,humidity,accident_reported,signal_status
2024-01-01 00:02:00,3,572,63.17922899663182,317,12,10,Windy,33.48337539357468,84.26261001965956,1,Red
2024-01-01 00:07:00,3,490,67.77443573377126,718,8,26,Foggy,24.94777480658331,79.26852548983261,0,Yellow
2024-01-01 00:12:00,5,852,27.54345613953357,408,63,30,Foggy,24.005235068523625,45.85463620873274,0,Yellow
2024-01-01 00:17:00,5,603,48.08924847806182,706,81,17,Windy,33.40867368677708,70.544715309851,0,Yellow
2024-01-01 00:22:00,4,802,69.39856578924307,466,73,5,Windy,16.97712840378209,31.57540912859436,0,Green
2024-01-01 00:27:00,2,580,34.513333013248754,114,29,9,Cloudy,34.38923658390205,31.809682290410336,0,Red
2024-01-01 00:32:00,4,337,21.88530929067637,869,12,40,Cloudy,17.77984006172361,77.17693843741353,0,Yellow
2024-01-01 00:37:00,5,790,63.491389958901024,354,52,27,Cloudy,10.289304968881757,57.48496138054383,0,Yellow
2024-01-01 00:42:00,4,697,47.295133370455225,581,48,42,Windy,19.19467713701409,89.60316672172014,0,Green
2024-01-01 00:47:00,5,757,54.52132419509336,406,10,3,Rainy,27.488611844138664,61.39098405109296,0,Green
2024-01-01 00:52:00,4,566,46.13045752833144,507,99,27,Windy,14.69320188745684,54.26248197424921,0,Yellow
2024-01-01 00:57:00,2,825,58.51159753132132,772,52,21,Sunny,13.036619272678188,42.49961506368248,0,Green
2024-01-01 01:02:00,5,861,72.75530689078307,98,97,15,Foggy,31.934363013534785,54.08382697876166,0,Red
2024-01-01 01:07:00,2,887,37.46865486711074,101,18,17,Sunny,14.804318330361223,55.07506108988628,0,Red
2024-01-01 01:12:00,5,663,76.24270628985924,569,82,5,Cloudy,25.825722635193564,69.7169751887936,0,Yellow
2024-01-01 01:17:00,4,847,54.93252558609387,405,25,21,Foggy,18.700333844087325,63.226593755954895,0,Green
2024-01-01 01:22:00,5,491,58.67547048454062,113,41,30,Foggy,25.451091978093437,34.18037186541527,0,Red
2024-01-01 01:27:00,1,336,57.18407428598535,776,32,34,Foggy,18.70075381770632,76.35208776759788,0,Yellow
2024-01-01 01:32:00,3,495,78.89919943114687,325,22,31,Sunny,16.637480430457053,50.39374926971,0,Green
2024-01-01 01:37:00,2,61,68.59161124163518,867,71,44,Windy,22.21948470574165,31.738835414998576,0,Yellow
2024-01-01 01:42:00,4,564,23.63773556398809,616,25,32,Rainy,23.539886569958576,80.98051844406749,0,Red
2024-01-01 01:47:00,4,397,33.81505524263088,344,27,14,Cloudy,17.12140327401899,85.94432976879709,0,Green
2024-01-01 01:52:00,5,921,41.25606589046279,838,29,5,Cloudy,28.675212489923982,75.17580396029169,0,Red
2024-01-01 01:57:00,3,335,65.65126067086973,728,32,37,Cloudy,27.075457962354022,79.40704849137441,0,Red
2024-01-01 02:02:00,5,792,71.83769484410061,894,1,31,Windy,30.933253848326025,64.75606977451196,0,Red
2024-01-01 02:07:00,4,599,79.69888215950559,297,87,12,Rainy,12.689034794260852,49.06563040949726,0,Green
2024-01-01 02:12:00,4,853,58.19231880520126,270,91,26,Sunny,30.684604840183955,32.136313590990525,0,Red
2024-01-01 02:17:00,2,627,33.147048768196306,116,57,27,Windy,32.875810586777106,57.13096112170166,0,Yellow
2024-01-01 02:22:00,4,498,20.781774065425022,144,25,41,Windy,32.20474882410468,87.4516336686508,0,Red
2024-01-01 02:27:00,3,456,61.89866943365436,563,21,44,Foggy,21.93720126156069,85.39694494218868,0,Green
2024-01-01 02:32:00,1,311,71.25331438045208,458,49,30,Cloudy,19.156029528340376,61.1657837380385,0,Green
2024-01-01 02:37:00,5,391,66.88093043686438,483,54,48,Foggy,30.701488568321903,86.7901452841926,0,Yellow
2024-01-01 02:42:00,5,61,70.12446985052756,75,24,26,Cloudy,20.115147073671576,30.08207906181221,0,Yellow
2024-01-01 02:47:00,3,643,22.763404051397384,713,33,38,Sunny,15.68727227172656,50.85349963869612,0,Yellow
2024-01-01 02:52:00,2,719,35.22926468940169,208,47,14,Sunny,27.240893547878024,53.51736840852913,0,Green
2024-01-01 02:57:00,1,56,74.08298579851609,518,72,46,Sunny,23.464584646355085,61.11310536413866,1,Red
2024-01-01 03:02:00,1,454,50.763214868757686,727,93,13,Windy,12.413761964943628,68.34868428738874,0,Green
2024-01-01 03:07:00,1,980,23.46217570495393,637,91,4,Cloudy,23.00048865723809,45.39122563954848,0,Red
2024-01-01 03:12:00,4,315,43.179390384587954,525,76,38,Cloudy,34.64517052521063,80.8329700656009,0,Yellow
